OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach,percAADTgt5k,percAADTgt10k,percSlowdownLT2,percSlowdownLT4
123,1356801140,MapQuestTrip,0,4,1.026771784,0.560057342,0.466714442,10.03326988,2.893629551,0,0,0,0,26.81895065,2.567894697,11.54773045,429.2839355,-0.19956401,1 commute,34.17208099,20.28487778,1.108065605,24.207407,11.13645554,8.548204422,0,0.542910695,0,0,0,78.14202118,61.91163635,63.24602127,81.17683411
124,1356801140,ShortestPath,0,4,3.389371634,1.848748207,1.540623546,0,2.054164648,0,0,0,0.770892799,16.75735474,29.21798325,41.86958313,69.22534943,-0.125863999,1 commute,35.67300415,24.1483326,1.218655825,21.6524353,9.327100754,7.527163029,0,0.453308403,0,0,0,48.23187637,32.96334839,56.85464478,83.83701324
125,1360813304,EndomondoTrip,1,4,1.04846096,0.65528816,0.39317289,2.102853298,1.96586442,0,0,0,66.35142517,0,0,7.877887249,249.6647797,-0.166027158,1 commute,30.08541298,22.45407104,1.052000046,17.99188423,11.70251369,8.893321037,0,0.082623318,0,7.738173485,0,52.79197693,52.79197693,37.15927505,51.70934677
126,1360813304,GoogleTrip,0,4,1.105494618,0.859829128,0.245665461,8.939675331,1.228327274,2.415830135,0,0,0.983648479,1.17714107,23.78172493,12.71752739,206.236145,-0.363790512,1 commute,33.02776337,20.28239822,3.320253849,18.07726669,11.26148987,6.958058834,0,0.06892579,0,7.003845215,0,58.26525116,12.79991913,58.51918793,84.79320526
127,1360813304,MapQuestTrip,0,4,0.575775027,0.575775027,0,16.20301056,1.497014999,0.568170488,0,0,2.883871317,22.60996056,0,18.23106956,203.8243561,-0.380572051,1 commute,30.95463753,20.68732071,1.615109801,20.24373817,11.32631397,7.789321423,0,0.173230916,0,7.210328579,0,60.61752701,37.34837341,63.66288376,81.50208282
128,1360813304,ShortestPath,0,4,2.007203579,1.070508599,0.936695039,0,2.141017199,3.045557022,0,0,3.049165964,67.88251495,0,6.631820202,274.3178406,-0.294933319,1 commute,30.53549957,23.62794304,1.499376774,19.00625229,10.92326355,7.314766884,0,0.075210586,0,7.017685413,0,60.78329086,60.78329086,35.05326462,69.72625732
129,1361796214,EndomondoTrip,1,4,1.110975981,0.512758136,0.598217785,1.04415822,1.538274407,0.040601123,0,0,44.29229736,0,0,5.229120255,214.4183502,-0.588708282,1 commute,29.03664589,20.93535423,0.912473321,17.2603817,11.20322132,7.456102848,0,0.184830815,0,13.01099014,0,66.82449341,66.77315521,50.17068863,68.76714325
130,1361796214,GoogleTrip,0,4,0.51561451,0.257807255,0.257807255,0.484393984,1.804650784,0,0,0,0.455474406,45.93193817,0,5.743031025,219.9095917,-0.744576335,1 commute,29.04836082,21.67762375,1.188037395,18.17500305,10.54171562,6.669107914,0,0.179984733,0,12.5201664,0,91.53053284,91.47891235,49.35266495,82.52996826
131,1361796214,MapQuestTrip,0,4,1.162470937,0.415168196,0.747302771,3.996428967,1.494605541,0.559086204,0,0,2.420866489,19.30809975,0.975444973,4.10518074,178.9375,-0.595379353,1 commute,30.69373512,20.03115463,1.320077896,18.55663872,10.34434319,5.894052982,0,0.251379758,0,12.90861702,0,73.80831146,61.282341,63.55533218,86.1149292
132,1361796214,ShortestPath,0,4,0.949872255,0.431760103,0.518112123,0,1.640688419,0,0,0,16.59302711,28.63845634,0,4.511301041,214.4984131,-0.988566756,1 commute,28.63794327,21.77794647,1.122431636,17.4832592,11.07327366,7.169359207,0,0.180489779,0,12.55529881,0,85.18042755,85.1285553,51.16062164,79.50494385
